trait,wave_feature,beta,pval,r2,correlation,n_overlap
depression_score,lead5_level1_energy,-0.1769991096650382,0.21738567864741987,2.278675683697884e-05,-0.004773547615480273,66775
depression_score,lead6_level6_approx_energy,-0.039972361762303545,0.7805775031468298,1.1621440783038395e-06,-0.0010780278643020135,66775
depression_score,lead6_level6_energy,-0.11875036374644252,0.40791371958298117,1.0256761369342726e-05,-0.0032026178932312217,66775
depression_score,lead6_level5_energy,-0.18669763390049693,0.19322434539701488,2.5352336016637445e-05,-0.0050351103280016265,66775
depression_score,lead6_level4_energy,-0.2542012317813303,0.07647041417829178,4.6999761667110285e-05,-0.006855637218279204,66775
depression_score,lead6_level3_energy,-0.13521064631203747,0.3460478004265056,1.329725912058155e-05,-0.0036465407058364607,66775
depression_score,lead6_level2_energy,-0.08500853934311567,0.5535671774978197,5.256122305952182e-06,-0.002292623454687048,66775
depression_score,lead6_level1_energy,-0.15575086576968317,0.2777317382175241,1.7644172423780802e-05,-0.004200496687869579,66775
depression_score,lead7_level6_approx_energy,-0.08409188702897555,0.5578519061822763,5.14337927604025e-06,-0.0022679019548067928,66775
depression_score,lead7_level6_energy,-0.14087501534958277,0.32621898344838507,1.4434718107692035e-05,-0.003799304950603236,66775
depression_score,lead7_level5_energy,-0.07018119566539635,0.6247768932333488,3.5824643741522166e-06,-0.00189273991182273,66775
depression_score,lead7_level4_energy,0.038076081994753326,0.7907387810502711,1.0544958154445894e-06,0.0010268864671514656,66775
depression_score,lead7_level3_energy,-0.025249332058433785,0.8603237802136972,4.6370325368361165e-07,-0.0006809575995500681,66775
depression_score,lead7_level2_energy,-0.08075232335817496,0.573597160087078,4.742970323046158e-06,-0.0021778361560145674,66775
depression_score,lead7_level1_energy,-0.12813086727745482,0.37188734495145104,1.1941197622489241e-05,-0.003455603800037242,66775
depression_score,lead8_level6_approx_energy,-0.16118609118616994,0.2613069719046873,1.8897113937987875e-05,-0.004347081082421446,66775
depression_score,lead8_level6_energy,-0.07364144925810182,0.6078072083108825,3.944436854030897e-06,-0.001986060637094612,66775
depression_score,lead8_level5_energy,-0.01647576760546017,0.9085883972207557,1.9743842105679477e-07,-0.00044434043377442615,66775
depression_score,lead8_level4_energy,-0.021084340100834514,0.8831823145848063,3.233407046554504e-07,-0.0005686305518868561,66775
depression_score,lead8_level3_energy,-0.07163852219803532,0.6176049379076065,3.732790285204679e-06,-0.001932043033787698,66775
depression_score,lead8_level2_energy,-0.14737874326279593,0.3043813619885293,1.5798288921620163e-05,-0.003974706142906441,66775
depression_score,lead8_level1_energy,-0.12935772560650638,0.36732589072959976,1.2170967326641247e-05,-0.003488691348682303,66775
depression_score,lead9_level6_approx_energy,-0.21077174095062276,0.14186665321181785,3.231209521015188e-05,-0.00568437289503612,66775
depression_score,lead9_level6_energy,-0.23011730933533814,0.10878073698013965,3.851580054470283e-05,-0.006206109936582444,66775
depression_score,lead9_level5_energy,-0.266830356598085,0.062948009654039,5.178581643339175e-05,-0.007196236268572189,66775
depression_score,lead9_level4_energy,-0.22681205364292753,0.11395519460941006,3.7417314652565814e-05,-0.00611696940102314,66775
depression_score,lead9_level3_energy,-0.13665809988271235,0.34090921085327675,1.3583481955237175e-05,-0.003685577560620004,66775
depression_score,lead9_level2_energy,-0.18795516175488486,0.1902420147295055,2.5695014585824794e-05,-0.00506902501323406,66775
depression_score,lead9_level1_energy,-0.05674140186159046,0.6925257765014985,2.3417497204691884e-06,-0.0015302776611023025,66775
depression_score,lead10_level6_approx_energy,-0.3336685549766934,0.020051897200831604,8.09787214253177e-05,-0.008998817779275853,66775
depression_score,lead10_level6_energy,-0.33650387915428254,0.019020145989118695,8.236079013967945e-05,-0.009075284576157815,66775
depression_score,lead10_level5_energy,-0.303971385041082,0.03414078194336794,6.720564584417055e-05,-0.00819790496677116,66775
depression_score,lead10_level4_energy,-0.3128432496985133,0.029239969829679167,7.118589200105774e-05,-0.008437173223320545,66775
depression_score,lead10_level3_energy,-0.3140162681804728,0.028639662426571646,7.172072160022136e-05,-0.008468808747296162,66775
depression_score,lead10_level2_energy,-0.31690492724084607,0.027206422865183984,7.304631934801353e-05,-0.008546713950297918,66775
depression_score,lead10_level1_energy,-0.19492965886161767,0.17431472758970837,2.763733735711149e-05,-0.005257122535848857,66775
depression_score,lead11_level6_approx_energy,-0.1596461750198791,0.26589075033696363,1.8537765738124712e-05,-0.0043055505732705855,66775
depression_score,lead11_level6_energy,-0.2721128370904149,0.05791067598847245,5.385653581269079e-05,-0.0073387012346712,66775
depression_score,lead11_level5_energy,-0.17848317296612431,0.21355395329030716,2.3170473571920702e-05,-0.004813571810209421,66775
depression_score,lead11_level4_energy,-0.1914461376309893,0.18214077284528382,2.6658368831533608e-05,-0.005163174297942983,66775
depression_score,lead11_level3_energy,-0.17336904335295944,0.22696596561296575,2.1861676314904877e-05,-0.004675647154733031,66775
depression_score,lead11_level2_energy,-0.14177689030915178,0.32313138479000214,1.4620130433962153e-05,-0.003823627915113406,66775
depression_score,lead11_level1_energy,-0.14490943113962584,0.3125555333792066,1.5273327259812675e-05,-0.003908110446353263,66775
depression_score,lead12_level6_approx_energy,-0.04906537860837719,0.7323993451998897,1.7510182116486916e-06,-0.0013232604474785038,66775
depression_score,lead12_level6_energy,0.22144745113647382,0.12276386574219571,3.566824377243538e-05,0.005972289659124197,66775
depression_score,lead12_level5_energy,0.13740551927692007,0.33827503599003395,1.3732471608074448e-05,0.0037057349618280426,66775
depression_score,lead12_level4_energy,-0.008526949153512351,0.9526143112299075,5.288441318196391e-08,-0.0002299661160787784,66775
depression_score,lead12_level3_energy,0.03685431451067198,0.7973046735619941,9.879091974474008e-07,0.0009939362151906276,66775
depression_score,lead12_level2_energy,-0.07821527814503595,0.5856977848532977,4.449626342606372e-06,-0.0021094137433229714,66775
depression_score,lead12_level1_energy,-0.1007781007469095,0.48247868461316623,7.387078143406001e-06,-0.0027179179794940126,66775
sleepy_accident,lead1_level6_approx_energy,-0.22224796931732005,0.17356165297636095,2.7734205789387012e-05,-0.005266327542888133,66775
sleepy_accident,lead1_level6_energy,-0.16358180518458296,0.3165243455068051,1.5024849264300144e-05,-0.0038761900448635337,66775
sleepy_accident,lead1_level5_energy,0.043015861716581436,0.7922507725621868,1.0389565499036024e-06,0.0010192921808687414,66775
sleepy_accident,lead1_level4_energy,0.010672380935300391,0.9478971760564507,6.395327312169741e-08,0.00025288984120039207,66775
sleepy_accident,lead1_level3_energy,-0.04246403280732002,0.7948559772280902,1.012471026240469e-06,-0.0010062161928508049,66775
sleepy_accident,lead1_level2_energy,-0.18122678402900375,0.2671418886098353,1.8441018270420884e-05,-0.004294300673129288,66775
sleepy_accident,lead1_level1_energy,-0.21432476810598977,0.1894078055512426,2.5791990235002338e-05,-0.005078581518052716,66775
sleepy_accident,lead2_level6_approx_energy,-0.1405754382906262,0.3893730152961067,1.1095810299677211e-05,-0.003331037420938103,66775
sleepy_accident,lead2_level6_energy,0.10637081313435104,0.5148422262477159,6.353091188793236e-06,0.0025205339094416124,66775
sleepy_accident,lead2_level5_energy,0.08876985122794817,0.5867551754370267,4.42457045224387e-06,0.0021034662945889726,66775
sleepy_accident,lead2_level4_energy,0.2043566109603846,0.21082643583638974,2.3448632178180162e-05,0.00484237877258336,66775
sleepy_accident,lead2_level3_energy,0.12461175380703711,0.4454588896004399,8.718828748754959e-06,0.002952766287392366,66775
sleepy_accident,lead2_level2_energy,-0.0371359663979632,0.820123615346789,7.743362470113979e-07,-0.000879963777730329,66775
sleepy_accident,lead2_level1_energy,-0.03279894932577995,0.8408313982855944,6.040320659206344e-07,-0.000777194998643763,66775
sleepy_accident,lead3_level6_approx_energy,-0.030267120172449518,0.8529721117208847,5.143779406857618e-07,-0.000717201462392196,66775
sleepy_accident,lead3_level6_energy,0.045984501074607234,0.7782761744878212,1.1873071649182165e-06,0.0010896362531412354,66775
