trait	wave_feature	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	rg2
act_out_dreams	lead5_level3_energy	0.0359	0.0929	0.3866	0.699	0.1583	0.0187	0.9933	0.0098	0.0035	0.0077	0.00128881
act_out_dreams	lead5_level4_energy	-0.0176	0.0948	-0.1856	0.8528	0.1454	0.018	1.0035	0.0091	0.008	0.0081	0.00030976
act_out_dreams	lead5_level5_energy	-0.0516	0.0932	-0.5536	0.5798	0.1442	0.019	1.0069	0.0093	0.0084	0.0081	0.00266256
act_out_dreams	lead5_level6_approx_energy	0.0301	0.112	0.269	0.7879	0.0909	0.0159	1.001	0.0094	-0.0026	0.0075	0.0009060099999999998
act_out_dreams	lead5_level6_energy	-0.0358	0.094	-0.3815	0.7029	0.1436	0.0188	1.0042	0.0093	0.0048	0.0079	0.00128164
act_out_dreams	lead6_level1_energy	-0.1638	0.2198	-0.7452	0.4562	0.019	0.0152	1.013	0.0092	-0.0025	0.0064	0.02683044
act_out_dreams	lead6_level2_energy	0.0248	0.1476	0.1678	0.8667	0.0445	0.0159	1.0069	0.0093	-0.0013	0.0067	0.00061504
act_out_dreams	lead6_level3_energy	0.041	0.1048	0.3911	0.6957	0.0856	0.0199	1.0088	0.0099	-0.0073	0.0067	0.0016810000000000002
act_out_dreams	lead6_level4_energy	0.0613	0.1111	0.5515	0.5813	0.0776	0.0201	1.0172	0.0099	-0.008	0.0068	0.00375769
act_out_dreams	lead6_level5_energy	0.0156	0.1274	0.1224	0.9026	0.0612	0.0177	1.0245	0.0098	-0.0013	0.007	0.00024335999999999997
act_out_dreams	lead6_level6_approx_energy	-0.0682	0.1164	-0.5857	0.5581	0.0724	0.0159	1.0074	0.0097	-0.0029	0.0069	0.004651239999999999
act_out_dreams	lead6_level6_energy	-0.0501	0.1162	-0.4309	0.6666	0.0792	0.0166	1.0203	0.0097	0.0034	0.0072	0.00251001
act_out_dreams	lead7_level1_energy	-0.0108	0.1477	-0.0729	0.9418	0.0321	0.0145	0.9987	0.009	-0.0027	0.006	0.00011664000000000001
act_out_dreams	lead7_level2_energy	-0.0794	0.094	-0.8447	0.3983	0.0947	0.0162	0.9885	0.0091	0.0031	0.0064	0.00630436
act_out_dreams	lead7_level3_energy	0.0209	0.0868	0.2411	0.8095	0.1444	0.0242	0.9877	0.0115	-0.0002	0.0071	0.00043680999999999993
act_out_dreams	lead7_level4_energy	0.0688	0.092	0.7473	0.4549	0.1435	0.0237	0.9882	0.011	-5.65e-06	0.0072	0.00473344
act_out_dreams	lead7_level5_energy	0.0686	0.102	0.6731	0.5009	0.1234	0.0211	0.9979	0.0104	-0.0033	0.0072	0.0047059599999999995
act_out_dreams	lead7_level6_approx_energy	-0.0032	0.1158	-0.0275	0.9781	0.0862	0.0175	1.0041	0.0096	0.0015	0.007	1.024e-05
act_out_dreams	lead7_level6_energy	0.0119	0.1027	0.1156	0.908	0.1165	0.0197	1.0099	0.0102	-0.0002	0.007	0.00014161000000000002
act_out_dreams	lead8_level1_energy	-0.1218	0.1357	-0.8976	0.3694	0.0531	0.0152	1.0044	0.0088	-0.0017	0.0069	0.014835240000000001
act_out_dreams	lead8_level2_energy	-0.1616	0.1031	-1.5673	0.117	0.0946	0.0178	0.9969	0.0097	0.0019	0.0068	0.02611456
act_out_dreams	lead8_level3_energy	-0.0716	0.0936	-0.765	0.4443	0.12	0.0197	0.9839	0.0102	-0.0031	0.0069	0.00512656
act_out_dreams	lead8_level4_energy	-0.1025	0.1076	-0.9524	0.3409	0.0907	0.0186	0.9946	0.0107	-0.0002	0.0069	0.010506249999999998
act_out_dreams	lead8_level5_energy	-0.1483	0.1289	-1.1501	0.2501	0.0653	0.018	1.0093	0.0111	-0.0013	0.0069	0.021992889999999998
act_out_dreams	lead8_level6_approx_energy	-0.2212	0.1405	-1.574	0.1155	0.0583	0.0152	1.0081	0.0095	0.0043	0.0072	0.048929440000000005
act_out_dreams	lead8_level6_energy	-0.2413	0.1456	-1.6578	0.0974	0.0551	0.0169	1.0161	0.0106	0.0034	0.0071	0.05822569
act_out_dreams	lead9_level1_energy	-0.2139	0.1318	-1.6235	0.1045	0.0593	0.0156	1.0029	0.0095	-0.0013	0.0069	0.04575321
